,Show,Gross,Average ticket price,Seats sold,Previews,Regular shows,Total performances
418,"HARRY CONNICK, JR. - A CELEBRATION OF COLE PORTER",4434144,163,28568,5,21,26
419,"HARRY POTTER AND THE CURSED CHILD, PARTS ONE AND TWO",174056581,132,1324815,34,783,817
420,HARVEY,6802810,72,93579,32,62,94
421,HAVING OUR SAY,5342140,4,179225,24,317,341
422,HAY FEVER,1622144,0,74796,16,124,140
423,HEAD OVER HEELS,7107981,61,121187,37,188,225
424,HEARTBREAK HOUSE,3177764,47,67971,30,79,109
425,HEDDA GABLER 1994,868966,0,30070,37,33,70
426,HEDDA GABLER 2001-2002,3297340,40,83031,17,117,134
427,HEDDA GABLER 2009,2742238,49,56067,21,74,95
428,HEDWIG AND THE ANGRY INCH,50259435,107,459696,22,507,529
429,HEISENBERG,4516447,78,57555,26,67,93
430,HELLO DOLLY!,6459815,26,144729,11,116,127
431,"HELLO, DOLLY!",128198738,156,811203,34,550,584
432,HENRY IV,4870242,62,77060,20,58,78
433,HIGH,449955,26,18112,29,7,36
434,HIGH FIDELITY,1096116,55,20022,19,13,32
435,HIGH SOCIETY,7317557,43,168193,27,144,171
436,HILLARY AND CLINTON,5240468,66,79786,37,77,114
437,HIZZONER,137324,0,8752,12,12,24
438,HOLIDAY,741050,17,30364,17,50,67
439,HOLIDAY INN,10143052,80,124170,38,117,155
440,HOLLER IF YA HEAR ME,1209478,34,37161,17,38,55
441,HOLLYWOOD ARMS,2043835,44,47006,28,76,104
442,HOME FOR THE HOLIDAYS,481817,24,20609,6,47,53
443,HOME FRONT,156133,0,9180,11,13,24
444,HONEYMOON IN VEGAS,7609536,66,117945,66,93,159
445,HONKY TONK NIGHTS,78865,0,6122,14,4,18
446,HONOUR,1132819,28,41160,27,57,84
447,HOT FEET,3766746,49,76824,12,97,109
448,HOUSE OF BLUE LEAVES,5700561,0,272340,0,352,352
449,HOW TO SUCCEED IN BUSINESS WITHOUT REALLY TRYING,59740764,94,628957,30,473,503
450,HOW TO SUCCEED IN BUSINESS WITHOUT REALLY TRYING 95/96,29473664,20,629821,16,548,564
451,HUGH JACKMAN - BACK ON BROADWAY,14634985,156,93407,18,61,79
452,HUGHIE,4697236,55,83562,46,93,139
453,HURLYBURLY,6766948,0,250730,0,343,343
454,I AM MY OWN WIFE,8648562,49,176011,26,360,386
455,I HATE HAMLET,1373609,0,73124,24,88,112
456,I'LL EAT YOU LAST: A CHAT WITH SUE MENGERS,9561477,137,69337,18,71,89
457,I'M NOT RAPPAPORT,793377,37,21365,15,53,68
458,I'm Not Rappaport 1985-1988,14858286,0,571321,0,891,891
459,I'M STILL HERE...DAMN IT!,1228086,38,32876,12,51,63
460,IAN MCKELLAN: KNIGHTOUT,192571,0,3794,0,5,5
461,ICEMAN COMETH,1505587,0,58553,7,55,62
462,IF YOU EVER LEAVE ME…I'M GOING WITH YOU,1361049,37,36852,24,53,77
463,IF/THEN,39635141,87,453766,29,401,430
464,IL DIVO - A MUSICAL AFFAIR,1308223,142,9241,0,6,6
465,IMAGINARY FRIENDS,2857950,57,50516,20,76,96
466,IMPRESSIONISM,2776558,64,44558,23,56,79
467,IN MY LIFE,1557164,48,32307,23,61,84
468,IN THE HEIGHTS,105302946,79,1322889,29,1184,1213
469,IN THE NEXT ROOM OR THE VIBRATOR PLAY,2129999,45,47282,31,60,91
470,IN THE SUMMER HOUSE,713179,0,43370,28,25,53
471,IN TRANSIT,6075958,61,98204,36,145,181
472,INDECENT,6159154,57,104281,15,128,143
473,INDISCRETIONS,6989870,0,182878,28,220,248
474,INHERIT THE WIND,6411103,68,93909,19,100,119
475,INHERIT THE WIND 1996,2883421,44,65270,42,45,87
476,INK,5289107,88,60205,24,87,111
477,INTO THE LIGHT,91153,0,5969,13,6,19
478,INTO THE WOODS,14731618,63,233472,18,279,297
479,INTO THE WOODS 1987-1989,29851411,0,844043,43,765,808
480,IRENA'S VOW,3070112,48,64931,23,105,128
481,IRVING BERLIN'S WHITE CHRISTMAS,759048,82,9224,0,7,7
482,IRVING BERLIN'S WHITE CHRISTMAS 2008-2009,15467881,98,154130,25,97,122
483,IS HE DEAD?,2882050,49,58357,13,105,118
484,IS THIS A ROOM,1016193,50,18840,11,26,37
485,IT AIN'T NOTHIN' BUT THE BLUES,6752894,40,170092,5,284,289
486,IT SHOULDA BEEN YOU,7881052,64,122504,31,135,166
487,IT'S A SLIPPERY SLOPE,410047,23,18091,2,17,19
488,IT'S ONLY A PLAY,37500966,123,293622,48,274,322
489,IVANOV,2953109,36,83270,31,51,82
490,JACK: A NIGHT ON THE TOWN WITH JOHN BARRYMORE,73498,21,3513,4,12,16
491,JACKIE MASON: BRAND NEW,4756677,0,256957,6,216,222
492,JACKIE MASON: FRESHLY SQUEEZED,2964688,56,53002,14,172,186
493,JACKIE MASON: POLITICALLY INCORRECT,5061323,0,154724,13,348,361
494,JACKIE MASON: MUCH ADO ABOUT EVERYTHING,5303427,47,112483,33,186,219
495,JACKIE MASON'S LAUGHING ROOM ONLY,1015629,49,21844,31,14,45
496,JACKIE: AN AMERICAN LIFE,2261732,33,69868,34,128,162
497,JAGGED LITTLE PILL,24322715,114,215062,36,168,204
498,JAKE'S WOMEN,7675249,0,256752,14,245,259
499,JAMES JOYCE'S THE DEAD,4376057,48,91086,24,120,144
500,JANE EYRE,8083185,48,168879,36,209,245
501,JAY JOHNSON: THE TWO AND ONLY,587011,48,12107,10,70,80
502,JEKYLL & HYDE,2470240,65,39385,15,30,45
503,JEKYLL AND HYDE,78056883,56,1403224,45,1543,1588
504,JELLY'S LAST JAM,31571770,0,666946,25,569,594
505,JEROME KERN HOLLYWOOD,122449,0,8015,9,13,22
506,JEROME ROBBINS' BROADWAY,40683240,0,910410,55,633,688
507,JERRY SEINFELD,774652,70,11060,0,10,10
508,JERRY'S GIRLS,3077118,0,122060,14,141,155
509,JERSEY BOYS,558416092,107,5150298,38,4642,4680
510,JERUSALEM,8004618,67,118970,21,141,162
511,JESUS CHRIST SUPERSTAR,10882991,78,141223,24,116,140
512,JESUS CHRIST SUPERSTAR 2000,11284435,45,250225,28,161,189
513,JITNEY,3598741,68,52176,21,62,83
514,JOE EGG,916650,0,50929,8,93,101
515,JOE TURNER'S COME AND GONE,3022226,45,66014,31,69,100
516,JOE TURNER'S COME AND GONE 1988,1278722,0,64709,11,105,116
517,JOHN LITHGOW: STORIES BY HEART,3971203,73,54139,21,61,82
518,JOSEPH AND THE AMAZING TECHNICOLOR DREAMCOAT,14280712,0,295962,17,231,248
519,JOURNEY'S END,2514849,48,53094,15,125,140
520,JUAN DARIEN,1187129,27,44121,20,49,69
521,JUDGMENT AT NUREMBERG,2025590,35,57914,45,56,101
522,JULIUS CAESAR,8543103,83,102854,31,81,112
523,JUMPERS,3957158,50,78865,23,89,112
524,JUNK,6583820,77,85734,30,77,107
525,JUNO AND THE PAYCOCK,312358,0,11723,6,12,18
526,KAT AND THE KINGS,3418286,36,94995,15,157,172
527,KATHY GRIFFIN WANTS A TONY,1021880,106,9934,0,10,10
528,KIKI AND HERB: ALIVE ON BROADWAY,619680,64,9520,5,27,32
529,KING CHARLES III,9411612,96,98107,22,103,125
530,KING DAVID,677313,53,12745,3,6,9
531,KING HEDLEY II,2479599,36,68803,24,72,96
532,KING KONG,36707905,79,464288,29,322,351
533,KING LEAR,9978653,72,136338,50,109,159
534,KINKY BOOTS,318990092,105,2980822,34,2505,2539
535,KIPLING,82583,0,4842,5,12,17
536,KISS ME KATE,65051743,61,1056908,28,882,910
537,"KISS ME, KATE",14272788,95,149856,30,125,155
538,KISS OF THE SPIDER WOMAN,42138889,0,863221,16,904,920
539,KRISTIN CHENOWETH: FOR THE GIRLS,969894,101,9584,0,8,8
540,LA BETE,4382858,61,73042,24,101,125
541,LA BOHÈME,20773921,73,284906,12,228,240
542,LA CAGE AUX FOLLES - Original,64214287,0,1948853,0,1440,1440
543,LA CAGE AUX FOLLES 1984-1987,64214287,0,1948853,0,1440,1440
544,LA CAGE AUX FOLLES 2004-2005,16381491,59,275385,34,226,260
545,LA CAGE AUX FOLLES 2010-2011,29057813,83,347661,15,433,448
546,LACKAWANNA BLUES,1033336,51,20060,18,27,45
547,LADY DAY AT EMERSON'S BAR & GRILL,14085440,113,124376,20,173,193
548,LARGELY NEW YORK,2300823,0,121825,11,144,155
549,LATE NITE COMIC,97657,0,8456,15,4,19
550,LATIN HISTORY FOR MORONS,9504510,94,101009,20,104,124
551,LATINOLOGUES,1104272,43,26013,34,93,127
552,LAUGH WHORE,1828501,46,39329,13,66,79
553,LAUGHTER ON THE 23RD FLOOR,8326356,0,274611,24,320,344
554,LEADER OF THE PACK,2739475,0,111515,53,120,173
555,LEAP OF FAITH,1343840,27,50021,25,19,44
556,LEGALLY BLONDE,56338126,69,814072,30,595,625
557,LEGS DIAMOND,5907024,0,138098,72,64,136
558,LEND ME A TENOR,16659783,18,478760,41,629,670
559,LENNON,3596685,66,54449,42,49,91
560,LES LIAISONS DANGEREUSES,9939835,79,127449,46,158,204
561,LES LIAISONS DANGEREUSES 1987,3910600,0,137581,8,149,157
562,LES MISÉRABLES,143676240,85,1675778,39,1487,1526
563,LES MISÉRABLES - ORIGINAL,406258901,23,8925169,11,6680,6691
564,LESTAT,4630419,59,80434,32,40,72
565,LET IT BE,2535797,54,48350,10,46,56
566,LETTICE AND LOVAGE,10945657,0,313850,15,286,301
567,LIFE x 3,4570880,58,79272,21,104,125
568,LILLIAN,279551,0,14224,5,45,50
569,LINDA VISTA,1605102,56,29034,25,37,62
570,LITTLE ME,3266231,51,64069,43,99,142
571,LITTLE SHOP OF HORRORS,20607589,59,350389,40,372,412
572,LITTLE WOMEN,9793281,64,153439,55,137,192
573,LIVING ON LOVE,811148,30,27322,21,16,37
574,LIZA'S AT THE PALACE,3059851,101,31431,0,22,22
575,LOBBY HERO,4795126,100,47672,30,56,86
576,LOMBARDI,9313391,63,147379,31,244,275
577,LONDON ASSURANCE,1493967,37,39976,14,72,86
578,LONG DAY'S JOURNEY,1139393,0,43159,6,54,60
579,LONG DAY'S JOURNEY INTO NIGHT,16487095,86,190648,33,178,211
580,LOOPED,1262525,41,31207,27,33,60
581,LOOT,1075400,0,52590,5,96,101
582,LORD OF THE DANCE: DANGEROUS GAMES,3616869,61,58276,4,67,71
583,LOSING LOUIE,1548011,50,30824,24,53,77
584,LOST IN YONKERS,23275602,0,772566,11,780,791
585,LOVE / LIFE,280480,41,6914,0,8,8
586,LOVE LETTERS,4762317,36,85227,6,191,197
587,LOVE THY NEIGHBOR,3856374,36,106652,5,234,239
588,LOVE! VALOUR! COMPASSION!,5849633,0,179722,28,248,276
589,LOVEMUSIK,2494723,60,41203,24,60,84
590,LOVES OF ANATOL,405843,0,23388,15,46,61
591,LUCIFER'S CHILD,259185,0,11635,6,28,34
592,LUCKY GUY,22992145,141,163710,33,104,137
593,LYSISTRATA JONES,1391172,36,39217,34,30,64
594,M. BUTTERFLY,5248147,88,60311,19,61,80
595,MA RAINEY'S BLACK BOTTOM,2427214,52,45737,14,68,82
596,MA RAINEY'S BLACK BOTTOM 1984-1985,2619607,0,130019,9,276,285
597,MACBETH 1988,2799049,0,90957,8,77,85
598,MACBETH 2000,489308,45,10926,8,13,21
599,MACBETH 2008,4105572,80,51048,11,52,63
600,MACHINAL,2123256,51,40813,28,52,80
601,MAGIC/BIRD,1136102,33,34446,24,37,61
602,MAIL,383246,0,21340,19,37,56
603,MAJOR BARBARA,3217456,49,65138,32,74,106
604,MAMMA MIA!,624391693,82,7566124,14,5758,5772
605,MAN AND BOY,3095607,57,53701,35,57,92
606,MAN OF LA MANCHA,22483426,66,343317,16,304,320
607,MAN OF LA MANCHA 1992,8018715,0,167938,28,108,136
608,MANDY PATINKIN,563627,46,12229,0,16,16
609,MANDY PATINKIN IN CONCERT: MAMALOSHEN,726465,42,17344,0,28,28
610,MANDY PATINKIN: DRESS CASUAL,747986,0,24735,0,62,62
611,MANILOW ON BROADWAY,4160716,121,35432,2,25,27
612,MARC SALEM'S MIND GAMES,287897,43,6866,1,30,31
613,MARIE CHRISTINE,2982095,43,69819,39,42,81
614,MARK TWAIN TONIGHT,617468,52,12184,3,15,18
615,MARLENE,681313,32,21342,15,25,40
616,MARRIAGE OF FIGARO,664010,0,40852,22,77,99
617,MARTIN SHORT: FAME BECOMES ME,10842526,75,143480,22,165,187
618,MARVIN'S ROOM,2366005,50,47375,23,68,91
619,MARY POPPINS,294558648,75,3877521,30,2619,2649
620,MARY STUART,6088106,59,103007,22,137,159
621,MASTER CLASS,3244777,61,52956,26,67,93
622,Master Class 1995,15082029,33,424668,12,598,610
623,MASTER HAROLD…AND THE BOYS,2276295,41,55872,31,49,80
624,MASTERGATE,691392,0,26715,23,69,92
625,MATCH,2333156,47,49757,28,53,81
626,MATILDA,198165852,94,2087293,37,1554,1591
627,MATTERS OF THE HEART,628230,36,17160,8,11,19
628,MAURITIUS,2293948,56,41237,24,61,85
629,ME AND MY GIRL,79655591,0,2061437,11,1417,1428
630,MEAN GIRLS,124199593,126,980469,29,801,830
631,MEDEA,2454181,41,58891,6,78,84
632,MEDEA 1994,3435444,0,84470,9,83,92
633,MEET ME IN ST. LOUIS,9737393,0,289739,17,252,269
634,MEL BROOKS,583140,197,2967,0,2,2
635,MEMPHIS,104453830,75,1380731,30,1165,1195
636,MEN ARE FROM MARS WOMEN ARE FROM VENUS,358316,32,11336,0,7,7
637,METAMORPHOSES,10455094,52,199094,13,400,413
638,METAMORPHOSIS,2684265,0,81045,5,96,101
639,METEOR SHOWER,10904520,154,70925,31,61,92
640,METRO,362026,0,20470,24,13,37
641,MICHAEL FEINSTEIN IN CONCERT,1031433,0,31308,0,57,57
642,MICHAEL FEINSTEIN: ISN'T IT ROMANTIC,779339,0,23485,0,39,39
643,MICHAEL FEINSTEIN: PIANO AND VOICE,599078,0,19023,0,30,30
644,MIKE TYSON: UNDISPUTED TRUTH,1204618,133,9160,2,10,12
645,MILLION DOLLAR QUARTET,28585196,75,379726,34,489,523
646,MINNELLI ON MINNELLI,2549836,89,29519,5,20,25
647,MISERY,12518415,112,112692,27,102,129
648,MISS MARGARIDA'S WAY,88048,0,11120,8,11,19
649,MISS SAIGON,322103948,28,6584913,43,4432,4475
650,MIXED EMOTIONS,529998,0,30482,16,56,72
651,MOON FOR MISBEGOTTEN,62406,0,3928,0,7,7
652,MOON OVER BUFFALO,11370536,25,317122,22,309,331
653,MORNING NOON AND NIGHT,504719,33,15504,7,12,19
654,MORNING'S AT SEVEN,2766340,36,75829,27,112,139
655,MORRISSEY,1881374,187,10085,0,7,7
656,MORT SAHL ON BROADWAY,192815,0,22329,5,26,31
657,MOSCOW CIRCUS,516462,0,17796,0,32,32
658,MOTHERS AND SONS,3558406,60,60704,33,104,137
659,MOTOWN THE MUSICAL,116498633,107,1083376,37,762,799
660,MOULIN ROUGE!,72260393,195,371285,24,260,284
661,MOVIN' OUT,99473905,69,1429115,28,1295,1323
662,MRS. WARREN'S PROFESSION,2917482,52,56201,35,65,100
663,MULE BONE,907603,0,65135,28,68,96
664,MUMMENSCHANZ,190000,0,22800,0,152,152
665,MY FAIR LADY,79772272,97,731887,55,674,729
666,MY FAVORITE YEAR,2005376,0,73023,45,36,81
667,MY LOVE LETTER TO BROADWAY,1854959,114,16313,0,12,12
668,MY NAME IS LUCY BARTON,4289821,117,36179,10,47,57
669,MY ONE AND ONLY,12143496,0,388016,0,312,312
670,MY THING OF LOVE,276763,0,18612,16,12,28
671,"NATASHA, PIERRE & THE GREAT COMET OF 1812",50069392,124,404558,32,336,368
672,NERD,3624602,0,191117,15,441,456
673,NETWORK,31370836,145,215717,28,184,212
674,NEVER GONNA DANCE,6287836,62,101949,44,84,128
675,NEWS,115500,0,2875,22,4,26
676,NEWSIES,109000717,94,1156757,16,1004,1020
677,NEXT FALL,3056830,54,57552,26,132,158
678,NEXT TO NORMAL,31764486,66,473884,20,734,754
679,NICE WORK IF YOU CAN GET IT,51461746,94,543472,27,478,505
680,NICHOLAS NICKLEBY,2136298,0,23933,3,29,32
681,NICK AND NORA,3994646,0,108368,71,9,80
682,NIGHT MUST FALL,2927757,37,81461,40,119,159
683,NO MAN'S LAND,1278139,0,39175,22,61,83
684,NO MAN'S LAND/WAITING FOR GODOT,14346510,89,160950,31,145,176
685,NOISES OFF,20017476,55,366417,51,415,466
686,NOISES OFF 1984-1985,6030479,0,252056,0,352,352
687,NOT ABOUT NIGHTINGALES,2465086,42,59027,13,125,138
688,NOVEMBER,11194646,70,160076,38,200,238
689,OBA OBA,632135,0,31313,18,46,64
690,OBA OBA '90,1246379,0,57143,10,45,55
691,OBA OBA '93,426432,0,26313,24,22,46
692,OCTETTE BRIDGE CLUB,159337,0,12156,8,24,32
693,OF MICE AND MEN,15938704,103,155377,31,118,149
694,OH CALCUTTA!,11704235,0,826527,8,2580,2588
695,OH COWARD,185000,0,16200,16,56,72
696,OH KAY!,2491192,0,89242,35,77,112
697,"OH, HELLO ON BROADWAY",10160117,90,112188,18,120,138
698,OKLAHOMA!,22808138,107,212244,22,328,350
699,OKLAHOMA! 2002/2003,34961595,63,549805,25,388,413
700,OLD ACQUAINTANCE,1809462,42,42829,31,61,92
701,OLD TIMES,4039575,77,52787,21,64,85
702,OLDEST LIVING CONFEDERATE WIDOW TELLS ALL,225202,38,6752,19,1,20
703,OLEANNA,2177335,55,39824,15,65,80
704,ON A CLEAR DAY YOU CAN SEE FOREVER,7253179,83,88565,29,57,86
705,ON BORROWED TIME,1303639,0,54810,21,101,122
706,ON GOLDEN POND,2947551,54,54757,19,93,112
707,ON THE TOWN,30840328,66,461901,28,368,396
708,ON THE TOWN 1988,5236292,37,143790,32,69,101
709,ON THE TWENTIETH CENTURY,11298280,91,123479,33,144,177
710,ON THE WATERFRONT,375890,0,20691,16,8,24
711,ON YOUR FEET!,83571600,94,879193,34,746,780
712,ONCE,110306780,100,1082027,23,1168,1191
713,ONCE ON THIS ISLAND,30783523,98,311099,29,457,486
714,ONCE ON THIS ISLAND Original Production,7109144,0,288391,19,469,488
715,ONCE UPON A MATTRESS,7991729,45,174914,35,188,223
716,ONE FLEW OVER THE CUCKOO'S NEST,6477718,53,122341,24,121,145
717,"ONE MAN, TWO GUVNORS",13071416,93,140382,13,159,172
718,ONE MO' TIME,514302,39,13080,16,21,37
719,ORPHANS,4056117,72,55985,27,37,64
720,ORPHEUS DESCENDING,3598732,0,115625,13,97,110
721,OSLO,10875255,88,123509,23,109,132
722,OTHER DESERT CITIES,14799861,85,171304,25,261,286
723,OUR COUNTRY'S GOOD,513073,0,44965,12,48,60
724,OUR MOTHER'S BRIEF AFFAIR,1727741,49,35508,22,53,75
725,OUR TOWN,3757006,67,55571,15,59,74
726,OUR TOWN 1988-1989,1625788,0,91557,27,136,163
727,OUTSIDE MULLINGAR,3351777,66,50227,22,61,83
728,PACIFIC OVERTURES,3770036,53,71420,24,69,93
729,PACK OF LIES,1128508,0,59197,5,120,125
730,PAL JOEY,5574587,54,103821,37,85,122
731,PARADE,4349262,41,104752,39,85,124
732,PARAMOUR,50071361,86,579261,31,366,397
733,PARK YOUR CAR IN HARVARD YARD,1993298,0,89633,9,124,133
734,PASS OVER,1829204,42,45306,19,57,76
735,PASSING STRANGE,5161374,53,97370,20,165,185
736,PASSION,10680035,0,238899,52,280,332
737,PATTI LABELLE ON BROADWAY,989597,56,17835,0,12,12
738,PATTI LUPONE ON BROADWAY,1640359,0,39633,8,45,53
739,PAUL ROBESON,420109,13,14327,7,25,32
740,PENN & TELLER ON BROADWAY,7418335,117,64567,7,41,48
741,PENN AND TELLER,2531878,0,94586,8,122,130
742,PETER AND THE STARCATCHER,17698854,68,255200,18,319,337
743,PETER PAN,10218898,41,247843,0,174,174
744,PETER PAN 1990-1991,7901151,19,171397,8,133,141
745,PHILADELPHIA: HERE I COME,1181442,0,37123,25,52,77
746,PICNIC,3349762,28,81257,62,94,156
747,PIPPIN,68840074,103,659865,37,709,746
748,PLAY ON!,1402692,23,61278,19,61,80
749,PORGY AND BESS,26381453,90,293984,28,293,321
750,PRECIOUS SONS,573384,0,34808,28,60,88
751,PRELUDE TO A KISS,1786550,43,41211,23,61,84
752,PRELUDE TO A KISS 1990-1991,5819573,0,194011,8,440,448
753,PRESENT LAUGHTER,15484083,74,196609,51,170,221
754,PRESENT LAUGHTER 1996-1997,4334972,33,133335,28,175,203
755,PRETTY WOMAN: THE MUSICAL,51134569,113,449208,27,420,447
756,PRIMO,1952699,65,29520,4,35,39
757,PRINCE OF BROADWAY,4171311,77,54277,23,76,99
758,PRISCILLA QUEEN OF THE DESERT,48763901,79,616609,23,526,549
759,PRIVATE LIVES,445166,72,6204,0,9,9
760,PRIVATE LIVES 1992,934802,0,30266,11,37,48
761,PRIVATE LIVES 2002,7083941,54,132104,9,127,136
762,PRIVATE LIVES 2011,2328466,64,36814,12,44,56
763,PROMISES PROMISES,42951936,91,475458,30,289,319
764,PROOF,32896994,51,634994,16,917,933
765,PROPOSALS,2172196,43,51007,10,77,87
766,PRUNE DANISH,2080448,59,35323,14,39,53
767,PRYMATE,111855,33,3303,22,5,27
768,PUTTING IT TOGETHER,5371370,57,94783,22,101,123
769,PYGMALION,3558323,53,66932,31,69,100
770,PYGMALION 1987,2492885,0,82271,15,113,128
771,QED,2165492,46,47492,8,40,48
772,QUILTERS,105736,0,6669,5,24,29
773,RABBIT HOLE,3203305,55,58154,23,77,100
774,RACE,14939910,74,197595,23,297,320
775,RACING DEMON,1160216,16,43851,8,56,64
776,RADIO GOLF,1825735,39,46200,17,64,81
777,RAGGEDY ANN,156625,0,10962,15,5,20
778,RAGS,587081,0,24641,18,4,22
779,RAGTIME,6030275,65,92587,28,65,93
780,RAGTIME 1997-2000,79947694,56,1432872,27,834,861
781,RAIN: A TRIBUTE TO THE BEATLES ON BROADWAY,18014434,66,260709,8,300,308
782,REASONS TO BE PRETTY,1936204,44,43457,21,85,106
783,RECKLESS,3004690,50,59677,24,77,101
784,RED,6835696,76,87631,22,101,123
785,REDWOOD CURTAIN,571015,0,34484,11,40,51
786,REGINA SPEKTOR,743114,102,7319,0,5,5
787,RELATIVELY SPEAKING,10077527,79,126852,35,117,152
788,RENT,274248128,54,5026616,16,5123,5139
789,REQUIEM FOR A HEAVYWEIGHT,114973,0,7355,8,3,11
790,RING OF FIRE,2775120,56,50623,38,57,95
791,RING ROUND THE MOON,1282880,27,47453,31,66,97
792,RINK,1695147,0,61030,0,72,72
793,RIVERDANCE,45553810,51,890766,13,605,618
794,ROCK 'N' ROLL,6767495,66,102787,16,123,139
795,ROCK OF AGES,128993202,89,1476471,22,2328,2350
796,ROCKTOPIA,4419436,65,67437,8,40,48
797,ROCKY,19222100,82,235400,28,180,208
798,ROMANCE ROMANCE,3221064,0,123774,13,297,310
799,ROMEO AND JULIET,6208798,75,84914,27,93,120
800,ROSE,1230595,30,40598,13,42,55
801,ROWAN ATKINSON AT THE ATKINSON,53303,0,2899,7,7,14
802,ROYAL SHAKESPEARE COMPANY - CYRANO AND MUCH ADO,4668586,0,181064,9,112,121
803,ROZA,559330,0,20266,20,12,32
804,RUBEN & CLAY'S FIRST ANNUAL CHRISTMAS CAROL FAMILY FUN PAGEANT SPECTACULAR,566548,36,15813,6,24,30
805,RUMORS,12880034,0,447611,8,535,543
806,RUN FOR YOUR WIFE,460213,0,31540,13,47,60
807,RUNNING ON EMPTY,997676,90,11120,0,8,8
808,SACRILEGE,357454,0,15394,8,21,29
809,SAFE SEX,255062,0,12920,21,9,30
810,SAINT JOAN,2897635,29,75082,39,103,142
811,SALLY MARR AND HER ESCORTS,679156,0,21088,27,50,77
812,SALOME,3702428,66,56181,18,40,58
813,SARAFINA,13504133,0,548087,11,597,608
814,SATURDAY NIGHT FEVER,37585638,55,680429,27,501,528
815,SAY GOODNIGHT GRACIE,5874615,45,131349,27,364,391
816,SCANDALOUS,1718924,44,42216,31,29,60
817,SCHOOL FOR SCANDAL,267650,16,9949,7,33,40
818,SCHOOL OF ROCK,160145109,95,1668057,31,1309,1340
819,SEA WALL/A LIFE,6509397,97,69022,14,60,74
820,SEARCH AND DESTROY,419612,0,28882,22,46,68
821,SEARCH FOR SIGNS,11404463,0,421543,14,391,405
822,SEASCAPE,1526743,41,38021,27,55,82
823,SEMINAR,9819692,72,132687,25,191,216
824,SENATOR JOE,5661,0,470,3,0,3
825,SERIOUS MONEY,413435,0,18856,21,15,36
826,SEUSSICAL,12927734,56,228686,34,198,232
827,SEVEN GUITARS,4341182,34,130145,13,188,201
828,SEX AND LONGING,1474936,23,65593,30,46,76
829,Sexaholix 2001-2002,5337342,49,109522,53,67,120
830,Sexaholix 2003,990923,49,20224,0,28,28
831,SHADOW BOX,636598,0,27956,19,49,68
832,SHADOWLANDS,2712597,0,124173,11,169,180
833,SHAKESPEARE FOR MY FATHER,2667045,0,97148,8,266,274
