,Show,Gross,Average ticket price,Seats sold,Previews,Regular shows,Total performances
834,SHATNER'S WORLD: WE JUST LIVE IN IT,914006,67,13721,2,17,19
835,SHE LOVES ME,22460756,24,422778,73,486,559
836,SHENANDOAH,798610,0,32251,15,32,47
837,SHERLOCK'S LAST CASE,2122057,0,83806,12,124,136
838,SHIMADA,218103,0,11950,20,4,24
839,SHINING CITY,3217082,55,57529,21,80,101
840,SHIRLEY VALENTINE,3918566,0,170791,8,324,332
841,SHOGUN: THE MUSICAL,2913428,0,88687,18,72,90
842,SHOW BOAT,89171712,25,1585144,12,947,959
843,SHREK THE MUSICAL,46361426,76,606280,37,441,478
844,"SHUFFLE ALONG, OR, THE MAKING OF THE MUSICAL SENSATION OF 1921 AND ALL THAT",15174445,116,131619,38,100,138
845,SID CEASAR AND COMPANY,48958,0,2455,6,5,11
846,SIDE MAN,9808327,35,276876,27,517,544
847,SIDE SHOW,9278312,50,188033,52,147,199
848,SIGHT UNSEEN,2724614,54,50622,21,70,91
849,SIGNIFICANT OTHER,1707469,50,35075,18,61,79
850,SINGIN' IN THE RAIN,13303713,0,441579,38,367,405
851,SISTER ACT,52509237,73,721574,28,561,589
852,SIX DANCE LESSONS IN SIX WEEKS,716751,32,22321,26,30,56
853,SIX DEGREES OF SEPARATION,18983263,10,503721,32,548,580
854,SIXTEEN WOUNDED,509381,38,13482,28,12,40
855,SKELETON CREW,1122880,38,28022,22,30,52
856,SKYLIGHT,14640395,78,191759,33,201,234
857,SLAVA'S SNOWSHOW,5404274,82,66447,10,97,107
858,SLAVE PLAY,10124246,68,142476,38,178,216
859,SLEIGHT OF HAND,309141,0,21844,31,9,40
860,SLY FOX,8121077,57,141591,22,173,195
861,SMILE,1605546,0,53631,11,48,59
862,SMOKEY JOE'S CAFE,88346877,40,1904856,25,2036,2061
863,SO LONG LONELY STREET,119659,0,11313,8,53,61
864,SOCIAL SECURITY,7412113,0,282222,26,388,414
865,SOLITARY CONFINEMENT,394967,0,29074,15,25,40
866,SOME AMERICANS ABROAD,480112,0,27761,6,55,61
867,SOMEONE WHO'LL WATCH OVER ME,3943981,0,133087,5,232,237
868,SOMETHING ROTTEN!,73500381,84,870214,32,708,740
869,SONDHEIM ON SONDHEIM,5352642,60,89781,37,76,113
870,SONG AND DANCE,13004714,0,395212,17,474,491
871,SOUL DOCTOR,1940459,39,51690,32,66,98
872,SOUL OF SHAOLIN,1225360,41,30406,3,21,24
873,SOUTH PACIFIC,96518652,99,965647,37,996,1033
874,SOUVENIR,945935,43,21953,14,68,82
875,SPAMALOT,168067350,80,2075781,34,1575,1609
876,SPEED THE PLOW,8477093,73,114722,24,140,164
877,SPEED-THE-PLOW,5543129,0,236777,23,279,302
878,SPIDER-MAN TURN OFF THE DARK,212406040,101,2067661,182,1066,1248
879,SPOILS OF WAR,640059,0,30209,14,36,50
880,SPONGEBOB SQUAREPANTS,37315330,76,485793,29,327,356
881,SPRING AWAKENING,66623990,74,886425,51,994,1045
882,SPRINGSTEEN ON BROADWAY,113058952,506,223585,7,229,236
883,SQUONK,466157,35,13579,24,32,56
884,STAND-UP TRAGEDY,74326,0,4258,12,13,25
885,STANLEY,1197565,24,48320,18,77,95
886,STARDUST,776361,0,52993,16,101,117
887,STARLIGHT EXPRESS,42622032,0,1153702,22,761,783
888,STARMITES,520358,0,23948,35,60,95
889,STATE FAIR,2926843,40,73138,8,110,118
890,STEEL MAGNOLIAS,4139622,57,72860,23,136,159
891,STEEL PIER,5587523,47,120530,33,76,109
892,STEPPING OUT,1006542,0,46054,21,73,94
893,STICK FLY,4262543,53,80312,24,93,117
894,STONES IN HIS POCKETS,5141100,44,115757,11,198,209
895,STRAIGHT WHITE MEN,3629411,81,44978,27,56,83
896,STRANGE INTERLUDE,1602954,0,44844,7,63,70
897,STREET CORNER SYMPHONY,1090010,17,64792,25,79,104
898,SUMMER,31490520,97,321684,27,288,315
899,SUMMER AND SMOKE,1194418,33,36681,22,53,75
900,SUNDAY IN THE PARK WITH GEORGE,19000206,84,225866,43,210,253
901,SUNDAY IN THE PARK WITH GEORGE 1984-1985,13820056,0,405866,0,568,568
902,SUNSET BOULEVARD,107159659,42,1689005,24,1115,1139
903,SUPERIOR DONUTS,4239113,58,74490,17,109,126
904,SWAN LAKE,7027858,50,141151,11,124,135
905,SWEAT,4881458,70,70653,24,105,129
906,SWEENEY TODD,20856882,74,282403,11,349,360
907,SWEENEY TODD 1989-1990,2447741,0,103111,47,188,235
908,SWEET CHARITY,34027372,27,744524,40,648,688
909,SWEET CHARITY 86-87,15373615,0,444510,15,369,384
910,SWEET SMELL OF SUCCESS,7860322,66,119972,18,109,127
911,SWEET SUE,2466416,0,103903,16,164,180
912,SWING!,24623691,47,529583,43,461,504
913,SWINGING ON A STAR,1772083,16,51442,19,96,115
914,SYLVIA,4453376,60,75926,27,79,106
915,TABOO,4894998,71,70160,16,100,116
916,TAKE ME ALONG,71190,0,4320,7,1,8
917,TAKING SIDES,1723675,26,67592,15,85,100
918,TAKING STEPS,852636,0,51389,22,78,100
919,TALK RADIO,4489013,53,84405,29,121,150
920,TALLER THAN A DWARF,2557061,39,65891,37,56,93
921,TANGO ARGENTINO,8561544,11,249818,8,262,270
922,TANGO PASION,138027,0,5873,6,5,11
923,TARTUFFE,2638852,43,61354,40,53,93
924,TARTUFFE 1997,321371,19,17029,25,29,54
925,TARZAN,42722858,73,580903,35,486,521
926,TEDDY AND ALICE,2156947,0,65251,11,77,88
927,THAT CHAMPIONSHIP SEASON,8443019,85,99407,28,97,125
928,THE 25TH ANNUAL PUTNAM COUNTY SPELLING BEE,45625516,67,672139,21,1136,1157
929,THE 39 STEPS,22104342,57,389835,31,763,794
930,THE ADDAMS FAMILY,86677092,92,920997,35,722,757
931,THE ADVENTURES OF TOM SAWYER,2211829,34,64852,34,21,55
932,THE AMERICAN PLAN,2001797,51,38583,22,70,92
933,THE ANARCHIST,1651411,73,22583,23,17,40
934,THE APPLE DOESN'T FALL,98544,19,5256,19,1,20
935,THE APPLE TREE,4777523,54,87752,18,99,117
936,THE ASSEMBLED PARTIES,5402056,65,82288,28,119,147
937,THE AUDIENCE,22072987,151,146613,22,114,136
938,THE BAND'S VISIT,67910865,110,612394,36,588,624
939,THE BEAUTY QUEEN OF LEENANE,12496388,44,281378,19,365,384
940,THE BEST LITTLE WHOREHOUSE GOES PUBLIC,756503,0,40023,28,16,44
941,THE BIG KNIFE,2337664,51,45618,29,56,85
942,THE BIG LOVE,519527,0,25658,11,41,52
943,THE BLONDE IN THE THUNDERBIRD,191165,14,15122,10,9,19
944,THE BLUE ROOM,4589721,45,101355,15,81,96
945,THE BOY FROM OZ,42738338,81,524857,32,364,396
946,THE BOYS FROM SYRACUSE,3286075,48,68115,29,73,102
947,THE BOYS IN THE BAND,14943570,160,93222,35,84,119
948,THE BRIDGES OF MADISON COUNTY,6729931,67,101215,37,100,137
949,THE CAINE MUTINY COURT-MARTIAL,945803,49,19409,27,17,44
950,THE CAPEMAN,8038402,53,152983,59,68,127
951,THE CARETAKER,2156333,45,48149,19,63,82
952,THE CEMETERY CLUB,363036,0,36367,10,56,66
953,THE CHAIRS,1830517,38,48303,10,74,84
954,THE CHER SHOW,39260781,105,375095,34,295,329
955,THE CHERRY ORCHARD,4699478,69,68736,36,69,105
956,THE CHILDREN,2390093,57,41588,15,63,78
957,THE CIRCLE,4075985,0,150710,8,208,216
958,THE CIVIL WAR,3524775,43,81971,35,61,96
959,THE COAST OF UTOPIA,10085758,72,139695,25,120,145
960,THE COAST OF UTOPIA [PART 1 - VOYAGE],1676577,59,30838,31,1,32
961,THE COLOR PURPLE,148718479,83,1818873,63,1360,1423
962,THE COLUMNIST,3505086,59,59702,23,86,109
963,THE COMEDY OF ERRORS,980176,0,59348,23,65,88
964,THE CONSTANT WIFE,3365506,53,63263,23,77,100
965,THE COUNTRY GIRL,5949235,74,81577,25,97,122
966,THE COUNTRY HOUSE,2383928,54,44110,26,61,87
967,THE CRIPPLE OF INISHMAAN,7845617,83,94219,9,105,114
968,THE CRUCIBLE,19344830,79,246671,51,226,277
969,THE CRUCILE 1991-1992,1185344,0,50154,23,31,54
970,THE CURIOUS INCIDENT OF THE DOG IN THE NIGHT-TIME,68321435,94,712343,23,799,822
971,THE DEEP BLUE SEA,1379259,36,38764,29,61,90
972,THE DEVIL'S DISCIPLE,897856,0,55502,27,113,140
973,THE DIARY OF ANNE FRANK,6086337,38,156663,15,221,236
974,THE DINNER PARTY,13974313,48,291757,20,364,384
975,THE DROWSY CHAPERONE,63565088,72,865975,32,674,706
976,THE ELEPHANT MAN,16291917,112,136696,58,140,198
977,THE ENCOUNTER,4370573,65,67056,11,117,128
978,THE FARNSWORTH INVENTION,4512535,59,76700,34,104,138
979,THE FATHER,4739487,51,90104,55,130,185
980,THE FERRYMAN,29427550,108,270524,20,296,316
981,THE FLOWERING PEACH,354805,0,16725,14,41,55
982,THE FLYING KARAMAZOV BROTHERS,658808,0,19501,7,50,57
983,THE FROGS,7691480,66,117040,34,92,126
984,THE FRONT PAGE,23135177,81,237246,60,174,234
985,THE GATHERING,360983,32,11208,12,24,36
986,THE GERSHWINS' FASCINATING RHYTHM,970692,37,26455,27,17,44
987,THE GIN GAME,7775151,50,152435,42,237,279
988,THE GLASS MENAGERIE,25419579,67,337554,103,435,538
989,THE GLASS MENAGERIE REVIVAL 94-95,1302177,0,37380,19,57,76
990,THE GOAT OR WHO IS SYLVIA?,7932478,44,179887,23,309,332
991,THE GOOD BODY,843035,43,19837,27,40,67
992,THE GOODBYE GIRL,11456076,0,264638,23,188,211
993,THE GOSPEL AT COLONUS,1166390,0,50165,15,61,76
994,THE GOVERNMENT INSPECTOR,476817,0,20677,16,37,53
995,THE GRADUATE,17834908,54,321840,24,380,404
996,THE GRAPES OF WRATH,5031529,0,158138,11,188,199
997,THE GREAT SOCIETY,4755412,73,65268,26,72,98
998,THE GREEN BIRD,1787997,50,37182,15,56,71
999,THE HEIDI CHRONICLES,16413783,7,543543,35,675,710
1000,THE HEIGHT OF THE STORM,3161762,75,42281,15,72,87
1001,THE HEIRESS,19273881,29,423708,60,457,517
1002,THE HIGH ROLLERS SOCIAL AND PLEASURE CLUB,110732,0,7243,19,13,32
1003,THE HISTORY BOYS,16986043,77,219895,13,185,198
1004,THE HOMECOMING,4267706,56,75092,15,137,152
1005,THE HOMECOMING 1991,635768,0,29202,23,49,72
1006,THE HOUSE OF BLUE LEAVES,5707721,76,74693,21,72,93
1007,THE HUMANS,24441207,92,266108,28,365,393
1008,THE ICEMAN COMETH,21685048,105,211696,38,169,207
1009,THE ILLUSIONISTS - LIVE ON BROADWAY,6785761,102,64713,0,64,64
1010,THE ILLUSIONISTS - MAGIC OF THE HOLIDAYS,14973669,104,137931,0,116,116
1011,THE ILLUSIONISTS - TURN OF THE CENTURY,5847010,81,68843,0,57,57
1012,THE ILLUSIONISTS - WITNESS THE IMPOSSIBLE,8157068,105,76365,9,45,54
1013,THE IMPORTANCE OF BEING EARNEST,8012925,65,122818,30,189,219
1014,THE INHERITANCE,10904126,92,117559,45,130,175
1015,THE INVENTION OF LOVE,3918862,37,104598,31,108,139
1016,THE JUDAS KISS,4629082,46,99964,6,103,109
1017,THE KENTUCKY CYCLE,863562,0,28251,15,33,48
1018,THE KING AND I,104348686,77,1397860,66,1279,1345
1019,The King and I1984-1985,12556649,0,328128,16,191,207
1020,THE LAST NIGHT OF BALLYHOO,11548547,47,243216,24,556,580
1021,THE LAST SHIP,11156287,84,131411,29,105,134
1022,THE LEHMAN TRILOGY,13467763,136,100012,18,82,100
1023,THE LIEUTENANT OF INISHMORE,3808107,50,76621,16,142,158
1024,THE LIFE,18961995,49,384256,21,466,487
1025,THE LIFESPAN OF A FACT,14409286,125,115552,32,101,133
1026,THE LIGHT IN THE PIAZZA,28777131,68,420433,36,504,540
1027,THE LIGHTNING THIEF,5061724,61,79999,30,95,125
1028,THE LION IN WINTER,2099821,41,51829,22,93,115
1029,THE LITTLE DOG LAUGHED,3345956,49,68122,22,112,134
1030,THE LITTLE FOXES,7973018,63,134141,49,144,193
1031,THE LITTLE MERMAID,82993600,83,986179,50,685,735
1032,THE LITTLE PRINCE,1888591,61,34889,14,32,46
1033,THE LONESOME WEST,619334,31,20296,9,55,64
1034,THE LOOK OF LOVE,2344600,40,59883,35,49,84
1035,THE LYONS,2509091,45,57421,21,80,101
1036,THE MAN WHO CAME TO DINNER,3854225,49,79268,32,85,117
1037,THE MAN WHO HAD ALL THE LUCK,2610518,45,57457,15,70,85
1038,THE MASTER BUILDER,786602,0,35635,11,44,55
1039,THE MERCHANT OF VENICE,15335104,133,115374,20,79,99
1040,THE MERCHANT OF VENICE 1989-1990,5444942,0,131041,19,84,103
1041,THE MIKADO,490302,0,23368,3,37,40
1042,THE MIRACLE WORKER,1687067,47,36610,21,38,59
1043,THE MISER,970436,0,62373,23,93,116
1044,THE MOLIERE COMEDIES,1487984,0,41638,26,61,87
1045,THE MOST HAPPY FELLA,4754838,0,156146,23,229,252
1046,THE MOTHERF**KER WITH THE HAT,10451323,81,130240,28,112,140
1047,THE MOUNTAINTOP,10864181,88,123293,24,117,141
1048,THE MUSICAL COMEDY MURDERS,1091537,0,66736,6,136,142
1049,THE MYSTERY OF CHARLES DICKENS,253992,33,7526,7,20,27
1050,THE MYSTERY OF EDWIN DROOD,7191342,58,122792,28,136,164
1051,THE NANCE,8563126,77,112339,28,136,164
1052,THE NAP,1819944,48,38426,25,53,78
1053,THE NEW ONE,4007178,61,65512,18,81,99
1054,THE NIGHT OF THE IGUANA,1540907,36,43376,18,69,87
1055,The Night of the Iguana 1988,568644,0,38378,11,81,92
1056,THE NORMAL HEART,4237705,61,67970,10,86,96
1057,THE NORMAN CONQUESTS,4256181,56,75224,18,109,127
1058,THE ODD COUPLE,28938436,97,296923,28,249,277
1059,THE ODD COUPLE 1985-1986,5556919,0,215658,9,295,304
1060,THE OLD NEIGHBORHOOD,3820480,34,111014,11,197,208
1061,THE OTHER PLACE,2876466,57,49929,34,61,95
1062,THE PAJAMA GAME,8885204,75,120528,41,129,170
1063,THE PARISIAN WOMAN,9771836,88,110665,25,116,141
1064,THE PEE-WEE HERMAN SHOW,6296959,98,64173,18,62,80
1065,THE PEOPLE IN THE PICTURE,2469422,44,56633,30,60,90
1066,THE PERFORMERS,737219,37,19860,24,6,30
1067,THE PETITION,883085,0,48859,10,75,85
1068,THE PHILANTHROPIST,2463705,49,49691,19,73,92
1069,THE PIANO LESSON,6396570,0,259106,8,328,336
1070,THE PILLOWMAN,8946186,65,137521,23,185,208
1071,THE PIRATE QUEEN,9054539,61,149476,32,85,117
1072,THE PITMEN PAINTERS,2330017,52,44965,18,78,96
1073,THE PLAY THAT GOES WRONG,34341708,68,500844,27,737,764
1074,THE PLAY WHAT I WROTE,2530951,40,63237,27,89,116
1075,THE PLAY'S THE THING,969991,0,32156,26,45,71
1076,THE PRESENT,10880989,124,88013,22,81,103
1077,THE PRICE,7546779,102,73903,31,69,100
1078,The Price 1992,715800,0,29398,25,46,71
1079,The Price 1999-2000,3013098,34,90661,20,128,148
1080,THE PRINCE OF CENTRAL PARK,128907,0,7738,19,4,23
1081,THE PRODUCERS,288361724,78,3672795,33,2502,2535
1082,THE PROM,25012263,84,295187,23,309,332
1083,THE RAINMAKER,3321242,38,88453,25,82,107
1084,THE RASCALS: ONCE UPON A DREAM,2245793,122,18432,1,14,15
1085,THE REAL INSPECTOR HOUND,855076,0,32296,17,61,78
1086,THE REAL THING,19754682,26,481689,56,604,660
1087,THE REALISTIC JONESES,8209761,86,95429,27,105,132
1088,THE RED SHOES,2568652,0,66477,51,5,56
1089,THE REGARD OF FLIGHT,232287,0,13127,7,17,24
1090,THE REHEARSAL,1147712,32,36206,25,55,80
1091,THE RETREAT FROM MOSCOW,4496405,50,89666,24,147,171
1092,THE RIDE DOWN MT. MORGAN,3948515,40,99678,23,121,144
1093,THE RISE AND FALL OF LITTLE VOICE,193203,0,17936,19,9,28
1094,THE RITZ,3438536,46,75147,30,69,99
1095,THE RIVALS,2275152,49,46130,23,45,68
1096,THE RIVER,10827016,135,80722,18,97,115
1097,THE ROAD TO MECCA,2082656,48,42360,34,56,90
1098,THE ROCKY HORROR SHOW,13431400,50,268017,30,437,467
1099,THE ROSE TATTOO,6442169,46,101305,37,136,173
1100,THE ROYAL FAMILY,2627586,49,53252,26,77,103
1101,THE SCARLET PIMPERNEL,40692704,44,924543,39,772,811
1102,THE SCOTTSBORO BOYS,2750411,52,52266,29,49,78
1103,THE SEAFARER,4512348,57,76919,19,133,152
1104,THE SEAGULL,6430741,75,85825,18,94,112
1105,THE SEAGULL 1992-1993,790509,0,33938,15,49,64
1106,THE SEARCH FOR SIGNS OF INTELLIGENT LIFE IN THE UNIVERSE,5562894,48,114278,6,184,190
1107,THE SECRET GARDEN,31609844,0,815536,23,709,732
1108,THE SECRET RAPTURE,256723,0,14288,19,12,31
1109,THE SHOW-OFF,636120,0,25160,26,45,71
1110,THE SISTERS ROSENSWEIG,19086077,0,510634,18,556,574
1111,THE SMELL OF THE KILL,533380,30,17858,20,40,60
1112,THE SNOW GEESE,2376183,54,44083,25,60,85
1113,THE SONG OF JACOB ZULU,1281899,0,45768,9,53,62
1114,THE SOUND INSIDE,8329312,86,96171,37,100,137
1115,THE SOUND OF MUSIC,34483971,54,642006,38,533,571
1116,THE SPEED OF DARKNESS,375965,0,24474,16,36,52
1117,THE STORY OF MY LIFE,264611,40,6628,19,5,24
1118,THE SUNSHINE BOYS,5023827,39,127504,12,230,242
1119,THE TALE OF THE ALLERGIST'S WIFE,29310727,48,612691,25,777,802
1120,THE TAP DANCE KID,14946615,0,595928,0,496,496
1121,THE TEMPEST,4609277,22,91218,25,70,95
1122,THE TEMPTATIONS AND THE FOUR TOPS ON BROADWAY,819461,93,8780,0,7,7
1123,THE TENTH MAN,714838,0,47284,35,41,76
1124,THE TERMS OF MY SURRENDER,4209550,59,74484,13,83,96
1125,THE TESTAMENT OF MARY,1279803,40,32424,27,16,43
1126,THE THREEPENNY OPERA,5806155,59,98279,32,77,109
1127,THE TIMES THEY ARE A-CHANGIN',2636161,53,50023,35,28,63
1128,THE TRIP TO BOUNTIFUL,13498945,86,158164,27,187,214
1129,THE VELOCITY OF AUTUMN,544617,29,19293,22,16,38
1130,THE VERTICAL HOUR,7308875,69,104375,23,117,140
1131,THE VIOLET HOUR,2037981,52,39431,23,54,77
1132,THE VISIT,3201020,26,85742,58,106,164
1133,THE WAVERLY GALLERY,7668657,77,99041,32,109,141
1134,THE WEDDING SINGER,19995744,66,301613,28,285,313
1135,THE WEIR,6874875,38,179837,10,277,287
1136,THE WILD PARTY,3919522,50,79170,36,68,104
1137,THE WINSLOW BOY,2392300,55,42745,32,53,85
1138,THE WOMAN IN WHITE,10445368,68,152490,20,109,129
1139,THE WOMEN,4183178,54,77827,32,77,109
1140,THE WORLD ACCORDING TO ME,12989003,0,547826,7,576,583
1141,THE YEAR OF MAGICAL THINKING,7293267,70,100961,23,144,167
1142,THE YOUNG MAN FROM ATLANTA,1340187,27,50356,17,84,101
1143,THÉRÈSE RAQUIN,5184011,73,71091,30,75,105
1144,THIS IS OUR YOUTH,7229324,65,112415,26,133,159
1145,THOROUGHLY MODERN MILLIE,75616509,63,1193581,32,903,935
1146,THOSE WERE THE DAYS,1106101,0,51567,18,126,144
1147,THOU SHALT NOT,3894953,46,85740,33,85,118
1148,THOUGHTS OF A COLORED MAN,3839605,77,49442,12,77,89
1149,THREE DAYS OF RAIN,11427896,111,102670,26,70,96
1150,THREE FROM BROOKLYN,214081,0,10061,8,45,53
1151,THREE MEN ON A HORSE,1031113,0,41277,24,39,63
1152,THREE MUSKETEERS,407838,0,19845,15,9,24
1153,THREE PENNY OPERA,4721700,0,103647,20,65,85
1154,THREE SISTERS,1708904,39,43322,26,61,87
1155,THREE TALL WOMEN,13906153,133,102982,30,102,132
1156,THURGOOD,4613166,58,80291,19,126,145
1157,TIME AND THE CONWAYS,3148688,63,49620,27,56,83
1158,TIME STANDS STILL,10428041,68,154459,44,193,237
1159,TIMON OF ATHENS,510164,0,20605,16,39,55
1160,TITANIC,57150546,53,1065828,26,804,830
1161,TITLE OF SHOW,2188129,46,47894,13,102,115
1162,TO BE OR NOT TO BE,1166048,53,21960,32,40,72
1163,TO KILL A MOCKINGBIRD,137973402,144,948725,45,623,668
1164,TOMMY,54390759,0,1148704,27,899,926
1165,TOMMY TUNE TONITE,744319,0,17511,4,10,14
1166,TOOTSIE,38439038,97,396058,25,293,318
1167,TOP GIRLS,2211556,54,41199,25,62,87
1168,TOPDOG / UNDERDOG,5405007,43,121725,31,144,175
1169,TORCH SONG,3140498,66,47853,26,77,103
1170,TORCH SONG TRILOGY,1255000,0,100000,0,400,400
1171,TRANSLATIONS,2141231,49,43049,24,53,77
1172,TRANSLATIONS 1995,935190,0,27707,15,25,40
1173,TRAVESTIES,4355637,79,54305,27,63,90
1174,TRIUMPH OF LOVE,3700422,46,80669,30,85,115
1175,TROUBLE IN MIND,1713773,45,37041,20,58,78
1176,TRU,3621706,0,159968,11,297,308
1177,TRUE WEST,10922725,64,158562,51,215,266
1178,TRULY BLESSED,324829,0,16920,12,33,45
1179,TUCK EVERLASTING,2943941,51,59117,28,39,67
1180,TWELFTH NIGHT,3602900,42,84557,30,53,83
1181,TWELFTH NIGHT/RICHARD III,13930965,94,147748,28,113,141
1182,TWELVE ANGRY MEN,9325569,56,164852,32,228,260
1183,TWENTIETH CENTURY,3869161,54,72398,27,84,111
1184,TWILIGHT OF THE GOLDS,496355,0,22655,15,29,44
1185,TWILIGHT: LOS ANGELES,1106723,0,41770,7,72,79
1186,TWO SHAKESPEAREAN ACTORS,676876,0,48118,33,29,62
1187,TWO TRAINS RUNNING,3043768,0,132923,7,160,167
1188,UNCLE VANYA,2366742,37,64242,29,49,78
1189,Uncle Vanya 1995,421847,0,17968,23,29,52
1190,UPTOWN...IT'S HOT,489307,0,21329,13,24,37
1191,URBAN COWBOY,1288667,54,23533,26,60,86
1192,URINETOWN,34815864,66,524188,25,965,990
1193,VANYA AND SONIA AND MASHA AND SPIKE,13130430,94,138147,11,189,200
1194,VENUS IN FUR,9550145,76,124848,37,191,228
1195,VIA DOLOROSA,1751272,31,55886,15,99,114
1196,VICTOR/VICTORIA,58754023,53,995827,25,734,759
1197,VINCENT IN BRIXTON,1915989,38,50193,23,69,92
1198,VIOLET,6616618,70,94762,27,128,155
1199,VOICES IN THE DARK,1245034,30,42090,12,68,80
1200,WAIT UNTIL DARK,4125132,45,91598,11,97,108
1201,WAITING FOR GODOT,6908255,62,111164,32,84,116
1202,WAITING IN THE WINGS,3146238,60,52581,16,69,85
1203,WAITRESS,184781903,116,1580963,33,1666,1699
1204,WAR HORSE,74975253,102,726281,33,718,751
1205,WAR PAINT,24811139,93,264985,33,236,269
1206,WELCOME TO THE CLUB,139596,0,7113,20,12,32
1207,WELL,1162288,42,27536,23,52,75
1208,WEST SIDE STORY,19788753,116,170520,77,21,98
1209,West Side Story 2009-2011,93028454,85,1074462,27,748,775
1210,WHAT THE CONSTITUTION MEANS TO ME,11325732,107,105418,19,164,183
1211,WHAT'S WRONG WITH THIS PICTURE,608942,0,32528,27,12,39
1212,WHO'S AFRAID OF VIRGINIA WOOLF?,12116848,69,179970,31,276,307
1213,WHOOPI,2584289,51,50144,12,72,84
1214,WHOOPI GOLDBERG,1973901,0,87564,18,156,174
1215,WILD HONEY,603624,0,25153,8,28,36
1216,WILDER WILDER WILDER,301716,0,17161,14,30,44
1217,WILL ROGERS' FOLLIES,54685976,0,1155341,33,981,1014
1218,WIND IN THE WILLOWS,196902,0,10740,25,4,29
1219,WISHFUL DRINKING,5649906,56,102216,15,118,133
1220,WIT,2302405,52,44863,24,60,84
1221,WOLF HALL PARTS ONE & TWO,9970896,96,104415,21,103,124
1222,WOMEN ON THE VERGE OF A NERVOUS BREAKDOWN,4820272,66,73822,30,69,99
1223,WONDERFUL TENNESSEE,572731,0,22792,20,9,29
1224,WONDERFUL TOWN,29830255,66,449677,16,497,513
1225,WONDERHOUSE,96031,0,5339,11,9,20
1226,WONDERLAND,4438971,52,84646,30,33,63
1227,XANADU,17126310,70,240985,49,512,561
1228,YANNI,527138,107,4925,0,5,5
1229,YOU CAN'T TAKE IT WITH YOU,13227324,83,160368,39,169,208
1230,YOU NEVER CAN TELL,1153718,0,61296,23,125,148
1231,YOU'RE A GOOD MAN CHARLIE BROWN,3630774,43,84237,14,149,163
1232,YOU'RE WELCOME AMERICA. A FINAL NIGHT WITH GEORGE W. BUSH,6723050,101,66710,18,46,64
1233,ZORBA,2470523,0,88377,0,80,80
1234,ZOYA'S APARTMENT,363761,0,22745,13,45,58
